Copepod.ID,Length,Width
1,1.172,0.466
10,1.191,0.497
11,1.229,0.471
12,1.262,0.51
13,1.255,0.495
14,1.217,0.479
15,1.208,0.472
16,1.205,0.49
17,1.134,0.46
19,1.166,0.456
2,1.117,0.452
20,1.294,0.511
21,1.286,0.471
22,1.097,0.463
23,1.29,0.533
25,1.259,0.527
26,1.198,0.488
27,1.196,0.49
28,1.155,0.457
29,1.225,0.48
3,1.12,0.442
30,1.251,0.514
4,1.214,0.517
5,1.251,0.493
6,1.196,0.467
7,1.125,0.448
81,1.2635,0.564
9,1.173,0.48
C1,1.156,0.486
C10,1.2055,0.5105
C11,1.145,0.485
C12,1.135,0.485
C13,1.171,0.491
C14,1.134,0.503
C15,1.161,0.535
C17,1.163,0.505
C18,1.119,0.497
C19,1.146,0.504
C20,1.117,0.492
C22,1.148,0.467
C23,1.193,0.505
C24,1.164,0.487
C25,1.168,0.496
C3,1.258,0.53
C4,1.171,0.474
C5,1.186,0.498
C6,1.058,0.444
C7,1.401,0.512
C8,1.149,0.477
C9,1.121,0.474
Q1,1.262,0.544
Q10,1.178,0.476
Q11,1.12,0.511
Q2,1.095,0.463
Q4,0.915,0.393
Q5,1.281,0.502
Q6,1.19,0.449
Q8,1.069,0.437
Q9,1.207,0.497
